product_id,product_name,category_id,price
143,Suggest Help,1,467.23
237,Increase Spring,5,353.33
235,Beyond Show,3,340.58
120,Course Firm,2,123.46
176,Window Floor,7,328.59
10,Others Beyond,8,191.32
117,Control Change,8,255.05
244,This Now,6,63.6
205,Opportunity Deal,2,455.96
53,Represent Staff,1,302.58
93,Television Because,7,229.41
187,Million Thing,6,139.91
290,Garden Many,1,312.03
142,Man Fight,2,284.75
293,Reduce Short,7,136.22
245,Understand Always,4,433.17
298,Strong Much,4,101.76
116,Ago Reflect,5,27.09
291,Get Material,7,369.48
17,Federal Popular,1,340.25
32,Either Speech,3,13.39
179,Good Best,2,348.66
151,Medical Popular,2,464.56
197,So Fill,7,431.05
255,Technology Stock,1,44.05
40,Note Relate,1,171.26
130,Play Thought,3,115.7
185,Various Them,8,118.96
241,Cover Activity,6,233.65
277,Of Tend,3,11.52
66,Agreement Election,3,162.93
88,Sport Network,2,49.27
171,Too Around,1,232.84
192,Son Factor,7,65.56
121,Affect Even,7,88.79
49,Act Recognize,7,294.3
50,Too Development,5,382.28
161,West Politics,7,339.06
275,But Relate,4,339.89
86,Gun Way,7,281.61
287,Enough Deep,7,286.95
99,Write Rest,8,239.82
223,Floor Phone,8,488.79
253,Easy Current,6,16.96
215,Plant Doctor,6,237.91
167,Buy Financial,1,165.13
69,These Page,8,51.26
80,Per Resource,2,352.41
230,Above Stock,7,68.33
52,Old Same,2,328.45
118,Significant Dog,2,56.09
248,Improve Find,3,279.82
254,Day Population,7,124.99
297,Fly Fine,8,381.5
128,Time Indeed,4,34.09
280,Wish Including,5,195.68
78,Rather Girl,4,76.42
243,Listen Pick,4,355.12
112,Else Realize,4,468.67
135,Else Produce,7,113.18
54,Knowledge Store,5,34.52
103,However Eye,3,488.55
227,Majority Rate,5,445.44
31,Not Condition,5,445.64
286,Experience Town,8,315.93
36,Spring Direction,5,48.56
154,During Seat,2,372.4
183,Strategy Try,4,173.45
193,Style Purpose,2,268.37
202,Worry Speech,1,47.58
7,Hard Similar,6,395.21
108,For War,3,482.52
189,Country First,1,175.52
12,Contain Politics,5,485.4
164,Discussion Record,7,347.9
184,Hope To,1,223.66
219,North Price,7,29.91
209,Above All,4,96.94
19,Minute Anything,6,185.7
71,Run Open,3,252.59
266,Language Million,3,487.27
284,Within Third,7,186.66
165,Development Heart,2,107.13
111,Return Heavy,8,67.39
180,Age Well,6,385.81
200,Forget My,3,191.44
169,Team Week,3,136.0
203,Certain Experience,4,306.06
75,Special Character,8,267.08
172,Place Good,5,19.2
274,Admit Fear,6,347.25
70,North Age,3,441.68
214,Several More,7,441.92
261,Pay Couple,3,129.48
269,However Television,6,42.05
114,Manager Executive,1,219.63
264,Short Bill,3,256.16
263,Brother Sing,5,42.97
48,Must Court,4,87.88
100,Or Message,1,286.69
102,Number Key,5,396.8
159,Seven Kitchen,1,51.94
148,Management Husband,4,349.5
8,They Almost,5,190.66
77,Drive Since,7,188.83
288,Be Group,1,269.33
82,Network Discuss,7,443.44
101,Population Wrong,5,27.32
124,Window Century,7,395.25
157,Project Record,2,363.13
194,Reveal Opportunity,1,280.96
105,Hope Product,2,69.76
207,No Yet,5,271.87
270,Mother Total,2,87.35
113,Maintain Region,7,497.97
168,It Expect,8,10.55
72,News Serious,6,295.94
247,Onto Memory,6,261.52
1,Fill Ability,7,171.0
150,Personal Sit,7,191.59
238,Election Wide,4,58.28
260,Suddenly Two,4,329.71
45,Sister Politics,2,391.1
23,He Walk,8,360.37
216,Toward Black,8,372.18
232,Market Feel,7,394.67
252,Color Significant,5,105.15
41,Treatment Light,7,331.48
137,Itself Impact,5,244.8
98,Police Step,3,52.99
256,Else Statement,6,37.68
90,Suddenly From,3,23.8
74,Note Blood,7,391.22
115,Land Memory,1,149.51
35,Lot Cell,3,376.57
76,Method Strategy,2,148.3
257,Wife Blue,2,421.1
14,Low Develop,2,414.17
43,Become Few,4,409.34
127,Tv Speak,3,492.94
160,Financial Term,5,387.86
110,Nor Administration,1,380.68
186,Actually Security,4,314.34
285,Respond Few,6,34.3
119,Ability Purpose,3,349.32
147,Region Fall,8,470.37
146,Owner Figure,4,195.08
46,Include Professor,4,411.3
212,Letter When,8,100.83
236,Blue Everything,8,395.23
198,Never Force,8,370.59
18,Cold Same,8,285.23
56,Necessary Herself,2,389.67
79,Plan Goal,6,481.05
92,How Deep,8,115.48
225,Effort Crime,4,281.4
295,Up Human,3,112.62
21,Pattern Whether,4,400.59
191,Executive Site,7,127.91
250,Phone Hundred,8,30.0
262,Program Word,4,325.52
16,Plant Court,6,157.93
33,Out Service,6,256.18
68,Study Top,3,25.41
122,Evening Political,8,371.86
24,Official Red,5,456.32
22,Method Soldier,6,383.66
152,Model Research,2,318.41
136,Go More,7,288.28
64,Opportunity Participant,7,187.49
281,Same Guess,4,446.24
39,Particularly See,8,456.79
234,Change Blue,2,107.08
83,Focus Although,8,420.59
131,Almost Increase,7,285.49
258,Response Institution,1,266.41
25,Performance Dark,3,275.39
217,Join Court,8,345.1
9,Poor On,7,193.24
44,Whether Into,6,185.7
60,Decision Grow,7,67.46
132,Much Affect,1,434.13
251,Then Provide,1,54.25
